municipio,total,5 estrellas,4 estrellas,3 estrellas,2 estrellas,1 estrellas,sin categoria,año
CUQUÍO,4,0,0,2,2,0,0,2015
EL SALTO,2,0,1,0,0,0,1,2015
GUADALAJARA,230,23,43,43,10,39,72,2015
IXTLAHUACÁN DE LOS MEMBRILLOS,1,0,1,0,0,0,0,2015
IXTLAHUACÁN DEL RÍO,0,0,0,0,0,0,1,2015
SAN CRISTÓBAL DE LA BARRANCA,2,1,0,0,0,0,1,2015
SAN PEDRO TLAQUEPAQUE,36,2,9,5,0,2,17,2015
TLAJOMULCO DE ZÚÑIGA,7,1,1,1,0,0,4,2015
TONALÁ,11,0,0,6,0,3,2,2015
VILLA CORONA,10,0,0,0,0,2,8,2015
ZAPOPAN,70,8,19,11,2,1,29,2015
ZAPOTLANEJO,7,0,1,3,0,2,1,2015
BOLAÑOS,3,0,0,1,1,1,0,2016
CHIMALTITÁN,2,0,0,0,1,0,1,2016
COLOTLÁN,6,0,1,1,0,3,1,2016
HUEJÚCAR,3,0,0,0,0,3,0,2016
HUEJUQUILLA EL ALTO,3,0,0,2,1,0,0,2016
MEZQUITIC,4,0,1,0,2,0,1,2016
SAN MARTÍN DE BOLAÑOS,2,0,0,0,1,1,0,2016
TOTATICHE,7,0,0,0,6,1,0,2016
VILLA GUERRERO,1,0,0,0,1,0,0,2016
ENCARNACIÓN DE DÍAZ,6,0,4,1,1,0,0,2016
LAGOS DE MORENO,29,4,3,3,3,0,16,2016
OJUELOS DE JALISCO,7,0,0,0,0,0,7,2016
SAN DIEGO DE ALEJANDRÍA,4,0,0,1,0,0,3,2016
SAN JUAN DE LOS LAGOS,113,18,10,21,23,37,4,2016
TEOCALTICHE,5,0,2,0,3,0,0,2016
UNIÓN DE SAN ANTONIO,2,0,0,0,0,0,2,2016
VILLA HIDALGO,14,0,0,0,0,0,14,2016
ACATIC,4,0,0,1,0,1,2,2016
ARANDAS,11,1,2,1,3,4,0,2016
CAÑADAS DE OBREGÓN,3,0,0,0,0,0,3,2016
JALOSTOTITLÁN,7,1,2,3,0,1,0,2016
JESÚS MARÍA,1,0,0,0,0,0,1,2016
MEXTICACÁN,1,0,0,0,0,0,1,2016
SAN IGNACIO CERRO GORDO,3,0,0,0,0,0,3,2016
SAN JULIÁN,3,0,1,2,0,0,0,2016
SAN MIGUEL EL ALTO,5,0,2,1,0,2,0,2016
TEPATITLÁN DE MORELOS,13,1,5,3,0,0,4,2016
VALLE DE GUADALUPE,2,0,0,0,0,0,2,2016
YAHUALICA DE GONZÁLEZ GALLO,6,1,2,1,2,0,0,2016
ATOTONILCO EL ALTO,7,0,1,2,0,0,4,2016
AYOTLÁN,2,0,0,2,0,0,0,2016
CHAPALA,49,5,15,8,13,5,3,2016
DEGOLLADO,2,0,1,1,0,0,0,2016
JAMAY,5,0,0,0,1,2,2,2016
JOCOTEPEC,21,5,3,4,1,4,4,2016
LA BARCA,14,0,0,6,2,4,2,2016
OCOTLÁN,20,0,3,2,0,5,10,2016
PONCITLÁN,7,0,0,1,0,4,2,2016
TIZAPÁN EL ALTO,2,0,0,0,0,1,1,2016
TOTOTLÁN,2,0,0,0,0,0,2,2016
TUXCUECA,2,0,0,0,0,2,0,2016
ZAPOTLÁN DEL REY,2,2,0,0,0,0,0,2016
CONCEPCIÓN DE BUENOS AIRES,5,0,0,0,0,0,5,2016
JILOTLAN DE LOS DOLORES ,1,0,0,0,0,0,1,2016
LA MANZANILLA DE LA PAZ,8,0,0,0,0,0,8,2016
MAZAMITLA,62,3,10,11,1,0,37,2016
PIHUAMO,2,0,0,0,0,0,2,2016
QUITUPAN,1,0,0,0,0,0,1,2016
SANTA MARÍA DEL ORO,1,0,0,0,0,0,1,2016
TAMAZULA DE GORDIANO,4,0,0,0,0,0,4,2016
TECALITLÁN,2,0,1,1,0,0,0,2016
VALLE DE JUÁREZ,3,0,0,0,0,0,3,2016
AMACUECA,1,0,0,0,0,0,1,2016
ATEMAJAC DE BRIZUELA,9,1,0,1,4,0,3,2016
ATOYAC,5,3,0,0,1,1,0,2016
GÓMEZ FARÍAS,3,0,0,0,0,0,3,2016
SAN GABRIEL,3,0,0,0,0,0,3,2016
SAYULA,8,3,3,0,2,0,0,2016
TAPALPA,78,3,4,4,0,0,67,2016
TEOCUITATLAN DE CORONA,1,0,0,0,0,0,1,2016
TOLIMÁN,3,0,0,0,0,0,3,2016
TUXPAN,3,0,0,1,0,1,1,2016
ZACOALCO DE TORRES,7,0,1,0,0,6,0,2016
ZAPOTILTIC,5,0,0,0,0,0,5,2016
ZAPOTITLÁN DE VADILLO,1,0,0,0,0,0,1,2016
ZAPOTLÁN EL GRANDE,15,0,2,6,4,3,0,2016
ATENGO,1,0,0,0,0,0,1,2016
CHIQUILISTLÁN,1,0,0,0,0,0,1,2016
EL GRULLO,6,0,1,2,2,1,0,2016
EL LIMÓN,2,0,0,1,0,0,1,2016
JUCHITLÁN,1,0,0,0,1,0,0,2016
TECOLOTLÁN,4,0,0,0,1,3,0,2016
TENAMAXTLÁN,2,0,0,0,0,0,2,2016
TONAYA,4,0,0,0,1,0,3,2016
UNIÓN DE TULA,5,0,0,1,0,0,4,2016
AUTLÁN DE NAVARRO,12,0,1,3,6,2,0,2016
CASIMIRO CASTILLO,2,0,0,1,1,0,0,2016
CIHUATLÁN,130,24,12,37,18,19,20,2016
CUAUTITLAN DE GARCIA BARRAGAN ,2,0,0,0,0,2,0,2016
LA HUERTA,32,10,3,5,7,5,2,2016
VILLA PURIFICACIÓN,6,0,0,0,0,0,6,2016
CABO CORRIENTES,8,1,1,3,1,0,2,2016
PUERTO VALLARTA,329,30,41,30,30,14,184,2016
TOMATLÁN,7,0,1,1,5,0,0,2016
ATENGUILLO,6,0,0,0,0,0,6,2016
AYUTLA,6,0,0,0,0,0,6,2016
CUAUTLA ,2,0,0,0,1,0,1,2016
GUACHINANGO,3,0,0,0,0,0,3,2016
MASCOTA,33,2,5,14,9,3,0,2016
MIXTLÁN,4,0,0,0,0,0,4,2016
SAN SEBASTIÁN DEL OESTE,19,4,1,9,1,0,4,2016
TALPA DE ALLENDE,90,0,1,1,0,1,87,2016
AHUALULCO DE MERCADO,8,0,0,0,0,0,8,2016
AMATITÁN,2,0,0,0,0,2,0,2016
AMECA,6,0,1,2,1,0,2,2016
COCULA,3,0,0,0,0,0,3,2016
EL ARENAL,5,0,0,0,0,0,5,2016
ETZATLÁN,6,0,0,0,0,0,6,2016
